,VENDOR_CODE,PRICE,LAST_UPDATE,ACCOUNT,PAGE
132,7557301,,2025-09-09,KITCHEN,22
111,4788808,,2025-09-09,BAKERY,19
124,9887902,,2025-09-09,KITCHEN,21
123,4671350,,2025-09-09,KITCHEN,21
122,5287194,,2025-09-09,KITCHEN,21
121,4645438,,2025-09-09,KITCHEN,21
108,0234419,,2025-09-09,BAKERY,19
109,7125250,,2025-09-09,BAKERY,19
110,1393511,,2025-09-09,BAKERY,19
112,8364341,,2025-09-09,BAKERY,19
126,2386134,,2025-09-09,KITCHEN,21
113,4461400,,2025-09-09,KITCHEN,20
114,2527836,,2025-09-09,KITCHEN,20
115,6239523,,2025-09-09,KITCHEN,20
116,0255941,,2025-09-09,KITCHEN,21
117,7097100,,2025-09-09,KITCHEN,21
118,5429766,,2025-09-09,KITCHEN,21
119,6040885,,2025-09-09,KITCHEN,21
125,7626013,,2025-09-09,KITCHEN,21
120,4560967,,2025-09-09,KITCHEN,21
127,4888574,,2025-09-09,KITCHEN,21
140,4390807,,2025-09-09,KITCHEN,22
133,0808564,,2025-09-09,KITCHEN,22
134,5667095,,2025-09-09,KITCHEN,22
135,9460106,,2025-09-09,KITCHEN,22
136,7055239,,2025-09-09,KITCHEN,22
138,1309863,,2025-09-09,KITCHEN,22
139,4129340,,2025-09-09,KITCHEN,22
128,5854377,,2025-09-09,KITCHEN,21
141,2032935,,2025-09-09,KITCHEN,22
143,5844220,,2025-09-09,KITCHEN,22
144,4062360,,2025-09-09,KITCHEN,22
131,4603308,,2025-09-09,KITCHEN,21
130,3325884,,2025-09-09,KITCHEN,21
142,4093373,,2025-09-09,KITCHEN,22
129,1763853,,2025-09-09,KITCHEN,21
82,4179586,,2025-09-05,KITCHEN,14
88,7199860,,2025-09-05,KITCHEN,15
87,7940998,,2025-09-05,KITCHEN,15
86,7100285,,2025-09-05,KITCHEN,15
85,3009428,,2025-09-05,KITCHEN,14
84,7302905,,2025-09-05,KITCHEN,14
83,5793922,,2025-09-05,KITCHEN,14
79,7136869,,2025-09-05,KITCHEN,14
81,1823465,,2025-09-05,KITCHEN,14
