,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
0,"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,2025-09-11,KITCHEN,
1,ACORN SQUASH,STAN SETAS,,4626,EACH,,,$2.65 ,2025-09-05,KITCHEN,
2,"APPLES, FUJI 72'S",STAN SETAS,,170,CASE,,,$58.50 ,2025-09-17,KITCHEN,
3,"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,,$0.80 ,2025-09-11,KITCHEN,
4,"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,, $-   ,2025-09-12,KITCHEN,
5,"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-11,KITCHEN,
6,"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,, $-   ,2025-09-11,KITCHEN,
7,"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-12,KITCHEN,
8,"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,2025-09-17,KITCHEN,
9,BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,,$42.50 ,2025-09-11,KITCHEN,
10,BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,, $-   ,2025-09-11,KITCHEN,
11,"BABY DILL, DOMESTIC 1-LB.",STAN SETAS,,0,CASE,,,$9.75 ,2025-09-13,KITCHEN,
12,BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.75 ,2025-09-09,KITCHEN,
13,BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.80 ,2025-09-12,KITCHEN,
14,"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-09,KITCHEN,
15,"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-12,KITCHEN,
16,"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,2025-09-04,KITCHEN,
17,"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,2025-09-16,KITCHEN,
18,"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,2025-09-06,KITCHEN,
19,"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-09,KITCHEN,
20,"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-03,KITCHEN,
21,"BEANS, GREEN TRIMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,2025-09-04,KITCHEN,
22,"BLACKBERRIES, DRISCOL 6/12OZ.",STAN SETAS,,0,CASE,,,$38.50 ,2025-09-12,KITCHEN,
23,"BLACKBERRIES, DRISCOLL 12/20OZ",STAN SETAS,,0,CASE,,,$22.75 ,2025-09-10,KITCHEN,
24,"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$42.50 ,2025-09-16,KITCHEN,
25,"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$38.50 ,2025-09-06,KITCHEN,
26,"BLUEBERRIES, DRISCOLL 12/20OZ.",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-14,KITCHEN,
27,"BLUEBERRIES, PERUVIAN 6/28OZ.",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-09,KITCHEN,
28,"BLUEBERRIES, PERUVIAN JUMBO",STAN SETAS,,0,CASE,,,$46.50 ,2025-09-16,KITCHEN,
29,"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,2025-09-12,KITCHEN,
30,"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$42.50 ,2025-09-17,KITCHEN,
31,"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,2025-09-04,KITCHEN,
32,BRUSSEL SPROUTS,STAN SETAS,,5970,LB,,,$2.95 ,2025-09-12,KITCHEN,
33,BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.75 ,2025-09-12,KITCHEN,
34,BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.95 ,2025-09-16,KITCHEN,
35,"CANTALOUPES, 9'S",STAN SETAS,,1205,CASE,,,$36.50 ,2025-09-11,KITCHEN,
36,"CANTALOUPES, 9'S",STAN SETAS,,1205,EACH,,,$4.75 ,2025-09-05,KITCHEN,
37,"CARROTS, BABY PEELED W/ TOPS",STAN SETAS,,2695,CASE,,,$29.80 ,2025-09-11,KITCHEN,
38,"CARROTS, LOOSE 25#",STAN SETAS,,2670,LB,,,$1.25 ,2025-09-03,KITCHEN,
